c_personid,c_entry_code,c_year
4,165,988
5,165,1151
6,165,968
7,36,1100
11,36,1132
13,36,1079
14,36,1059
16,36,1057
17,36,1061
19,36,1076
20,36,1115
21,36,1046
28,36,1000
29,36,1112
31,36,1109
36,36,1132
38,36,1038
39,36,1138
43,36,1057
46,36,1061
47,36,1059
53,36,1049
55,36,1042
55,36,1044
56,36,980
58,36,1097
60,36,1128
62,36,1118
62,36,1121
63,36,1115
64,36,1076
66,36,1112
67,36,1005
68,36,1103
69,36,1097
70,36,1148
72,36,1138
74,36,1106
77,36,1034
78,36,985
79,36,1076
82,36,1128
83,36,977
84,36,1112
87,36,1097
93,36,989
94,36,1061
95,36,1012
97,36,989
98,36,989
99,36,1000
102,36,1088
111,36,1061
113,36,1057
116,36,1019
117,36,1124
118,36,1011
119,36,1100
121,36,1053
122,36,1034
126,36,1115
131,36,1057
133,36,1100
134,36,983
136,36,1076
138,165,1067
146,165,999
147,36,1049
149,36,1112
152,36,1076
154,36,1142
155,36,1053
157,165,1079
159,36,1076
160,165,1124
166,36,1112
167,36,1118
168,36,1115
171,36,1124
172,36,1038
173,36,1046
174,36,1124
177,36,1063
183,36,977
184,36,1115
185,36,961
187,36,1091
191,36,1151
197,36,1049
198,36,978
199,36,1094
200,36,989
201,36,1121
203,36,1070
207,36,1061
208,36,1012
210,36,1079
211,36,1118
216,36,1115
223,36,1008
225,165,1024
226,36,1024
227,36,1091
229,36,1038
230,36,1063
231,36,1070
233,36,1059
240,36,1088
245,36,992
246,36,1097
247,36,1073
248,36,1079
250,36,1012
252,36,1115
255,36,1082
256,36,977
262,165,1008
267,36,1005
269,36,980
272,36,1065
274,36,1106
276,36,980
279,36,992
280,36,1011
283,36,1063
285,36,1034
288,36,1163
290,36,1100
291,36,1065
293,36,1027
297,36,1065
299,36,1005
300,36,1094
301,36,1057
303,36,1061
306,36,1030
316,36,1082
318,36,1015
321,36,1019
323,36,1128
325,36,1109
328,36,1073
329,36,1121
330,36,973
331,36,1046
332,36,980
333,165,1059
334,165,1124
336,36,1132
339,165,1105
342,165,1005
344,36,1002
345,165,1065
346,165,1115
348,36,978
352,36,1046
353,36,978
360,36,992
363,36,1100
364,36,1138
369,36,1115
373,36,1115
375,36,1049
386,36,1160
394,36,1076
395,36,1091
400,36,1124
402,36,1057
403,36,1094
409,36,1109
410,36,1115
411,165,1024
412,36,1128
414,36,1132
415,36,980
417,36,1100
419,36,1118
423,36,992
425,36,1000
427,36,1106
428,36,983
433,165,1057
434,36,1109
440,36,1080
449,36,1046
451,36,1067
453,36,985
454,36,1061
457,165,1109
